name,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook,record_type,member_level,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,subjects_offered,closed,unaccredited,overall_score
Moscow Aviation Institute,32.9,14.4,26.4,48.6,31.9,master_account,0,Russian Federation,"15,468",12.8,12%,29 : 71,"Economics & Econometrics,Chemical Engineering,Computer Science,Business & Management,Physics & Astronomy,Sociology,Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",FALSE,FALSE,22.8–28.2
Moscow Power Engineering Institute,23.6,18.3,20.4,51.4,39.9,master_account,0,Russian Federation,"14,248",20.7,14%,33 : 67,"Civil Engineering,Education,Art, Performing Arts & Design,Physics & Astronomy,Mechanical & Aerospace Engineering,Business & Management,Electrical & Electronic Engineering,Sport Science,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,General Engineering,Chemistry,Computer Science,Chemical Engineering,Accounting & Finance,History, Philosophy & Theology,Communication & Media Studies,Biological Sciences",FALSE,FALSE,22.8–28.2
Multimedia University,19.5,13,29,62.2,41.2,master_account,0,Malaysia,"8,893",16.3,9%,45:55:00,"Art, Performing Arts & Design,Business & Management,General Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,Communication & Media Studies,Law,Electrical & Electronic Engineering,Computer Science,Accounting & Finance",FALSE,FALSE,22.8–28.2
Mutah University,29.7,11.5,27.6,20.9,61.2,master_account,0,Jordan,"11,348",15.5,18%,44:56:00,"Art, Performing Arts & Design,Sociology,Architecture,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Economics & Econometrics,Mechanical & Aerospace Engineering,General Engineering,Chemistry,Law,Electrical & Electronic Engineering,Archaeology,Mathematics & Statistics,Other Health,Chemical Engineering,Geography,Physics & Astronomy,Medicine & Dentistry,Languages, Literature & Linguistics,Education,Accounting & Finance,Sport Science,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Civil Engineering,Psychology,History, Philosophy & Theology,Computer Science,Business & Management",FALSE,FALSE,22.8–28.2
Nagaoka University of Technology,34.3,16.4,19.9,62.1,43.2,master_account,0,Japan,"2,127",10.2,12%,0.561111111,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Computer Science,Civil Engineering",FALSE,FALSE,22.8–28.2
Nagasaki University,29.4,14.8,28.5,48.4,40.3,master_account,0,Japan,"8,782",6.7,5%,39 : 61,"Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Computer Science,Civil Engineering,Education,Sociology,Mechanical & Aerospace Engineering,Economics & Econometrics,Languages, Literature & Linguistics,Chemical Engineering,General Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Business & Management,Other Health,Communication & Media Studies,Accounting & Finance",FALSE,FALSE,22.8–28.2
Nagoya Institute of Technology,21.5,20.3,23,73.2,31.4,master_account,0,Japan,"5,760",16.1,5%,0.765972222,"General Engineering,Communication & Media Studies,Chemistry,Computer Science,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Biological Sciences,Business & Management,Architecture,Physics & Astronomy,Sport Science,Chemical Engineering,Electrical & Electronic Engineering,Mathematics & Statistics",FALSE,FALSE,22.8–28.2
University of Nairobi,12,10.6,45.9,18.8,49.8,master_account,0,Kenya,"52,678",34.5,2%,24 : 76,"Law,Mathematics & Statistics,Business & Management,Communication & Media Studies,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Civil Engineering,Electrical & Electronic Engineering,General Engineering,Education,Chemistry,Other Health,Art, Performing Arts & Design,Sport Science,Computer Science,Accounting & Finance,Geography,Mechanical & Aerospace Engineering,Sociology,Chemical Engineering,Architecture,Agriculture & Forestry,History, Philosophy & Theology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Archaeology,Veterinary Science,Psychology,Medicine & Dentistry,Biological Sciences",FALSE,FALSE,22.8–28.2
University of Namibia,13.1,8.6,51.3,15.8,62.8,master_account,0,Namibia,"28,916",21.6,3%,63:37:00,"Agriculture & Forestry,Education,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Business & Management,Medicine & Dentistry,Sociology,History, Philosophy & Theology,Veterinary Science,Geography,Computer Science,Law,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Art, Performing Arts & Design",FALSE,FALSE,22.8–28.2
National Changhua University of Education,22.2,17.8,20.6,74.5,28.8,master_account,0,Taiwan,"8,459",15,8%,51:49:00,"Languages, Literature & Linguistics,Mathematics & Statistics,Education,Computer Science,Geography,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Accounting & Finance,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemistry,Psychology,General Engineering,Art, Performing Arts & Design,Biological Sciences,Sport Science,Business & Management",FALSE,FALSE,22.8–28.2
National Chin-Yi University of Technology,13.9,25.1,27.4,42.1,28.7,master_account,0,Taiwan,"7,618",22.7,6%,30 : 70,"Chemical Engineering,Languages, Literature & Linguistics,Computer Science,Electrical & Electronic Engineering,Business & Management,General Engineering,Art, Performing Arts & Design",FALSE,FALSE,22.8–28.2
National Chung Cheng University,23.5,22.2,25,72.9,26.5,master_account,0,Taiwan,"8,748",15.6,4%,44:56:00,"Chemistry,Psychology,Other Health,History, Philosophy & Theology,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Sociology,Sport Science,Physics & Astronomy,Economics & Econometrics,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Education,Biological Sciences,Accounting & Finance,Languages, Literature & Linguistics,Mathematics & Statistics,Law,Communication & Media Studies,General Engineering,Electrical & Electronic Engineering,Chemical Engineering",FALSE,FALSE,22.8–28.2
National University of Colombia,19.7,13.6,37.1,36.9,41.1,master_account,0,Colombia,"56,586",22,1%,40 : 60,"Architecture,Veterinary Science,Sociology,Other Health,Mathematics & Statistics,Accounting & Finance,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Medicine & Dentistry,Biological Sciences,Business & Management,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Psychology,Civil Engineering,Law,Languages, Literature & Linguistics,General Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering,Geography,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Chemistry,Education",FALSE,FALSE,22.8–28.2
National University of Distance Education (UNED),24.9,18.9,37.8,35.8,31,master_account,0,Spain,"80,478",67.5,4%,55:45:00,"Languages, Literature & Linguistics,Business & Management,Education,Psychology,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Computer Science,Economics & Econometrics,General Engineering,Sociology,Physics & Astronomy,Law,Mathematics & Statistics,Accounting & Finance,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Geography,History, Philosophy & Theology",FALSE,FALSE,22.8–28.2
National Dong Hwa University,19.1,23.8,26.3,33.5,48.6,master_account,11,Taiwan,"9,970",18.6,9%,52:48:00,"Mathematics & Statistics,Business & Management,Physics & Astronomy,Chemistry,Geography,Art, Performing Arts & Design,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Law,Psychology,Economics & Econometrics,General Engineering,Communication & Media Studies,Politics & International Studies (incl Development Studies),Accounting & Finance,Education,Sociology,Biological Sciences,Sport Science,Agriculture & Forestry,Electrical & Electronic Engineering,History, Philosophy & Theology",FALSE,FALSE,22.8–28.2
National Institute of Technology Srinagar,23.1,10.7,45.7,16.7,19.8,master_account,0,India,"3,820",15.9,0%,0.069444444,"Electrical & Electronic Engineering,Mathematics & Statistics,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering,Chemistry,Computer Science",FALSE,FALSE,22.8–28.2
National Kaohsiung University of Science and Technology,15.2,20.3,35,61.6,26.8,master_account,0,Taiwan,"28,128",33.1,3%,39 : 61,"Business & Management,Law,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Art, Performing Arts & Design,Chemistry,Mechanical & Aerospace Engineering,Civil Engineering,Languages, Literature & Linguistics,Accounting & Finance,Chemical Engineering,General Engineering,Computer Science,Biological Sciences",FALSE,FALSE,22.8–28.2
National Research University of Electronic Technology (MIET),43.8,14.9,10.7,50.2,25.5,master_account,0,Russian Federation,"5,032",9.5,7%,25 : 75,"Education,Art, Performing Arts & Design,Biological Sciences,Politics & International Studies (incl Development Studies),Business & Management,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Law,General Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Computer Science,Sociology,Chemical Engineering,Economics & Econometrics,Chemistry,Electrical & Electronic Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering,Accounting & Finance,Civil Engineering",FALSE,FALSE,22.8–28.2
National Taiwan Ocean University,19.7,25,30.2,63,34.7,master_account,0,Taiwan,"8,244",16.2,8%,32 : 68,"Civil Engineering,Communication & Media Studies,Sociology,Chemistry,Biological Sciences,Veterinary Science,Electrical & Electronic Engineering,Law,Medicine & Dentistry,Sport Science,Computer Science,Other Health,Architecture,Mechanical & Aerospace Engineering,Economics & Econometrics,Psychology,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Languages, Literature & Linguistics,Physics & Astronomy,General Engineering,Archaeology,Education,Geography,Agriculture & Forestry,Business & Management,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Art, Performing Arts & Design,History, Philosophy & Theology,Accounting & Finance",FALSE,FALSE,22.8–28.2
National Technical University Kharkiv Polytechnic Institute,24.8,9,14.9,17.5,33.6,master_account,0,Ukraine,"11,055",7.9,14%,31 : 69,"Economics & Econometrics,Accounting & Finance,Sociology,Civil Engineering,Sport Science,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Psychology,Chemical Engineering,Communication & Media Studies,Business & Management,Languages, Literature & Linguistics,Other Health,Mechanical & Aerospace Engineering,Education,Chemistry,Physics & Astronomy,Medicine & Dentistry,Biological Sciences,Electrical & Electronic Engineering,Computer Science,Mathematics & Statistics,General Engineering",FALSE,FALSE,22.8–28.2
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,26.5,9.9,16,22.2,22.4,master_account,0,Ukraine,"21,170",8,3%,30 : 70,"Art, Performing Arts & Design,Sociology,Other Health,Chemistry,Chemical Engineering,Education,Mathematics & Statistics,Business & Management,Electrical & Electronic Engineering,Law,History, Philosophy & Theology,Physics & Astronomy,Communication & Media Studies,Economics & Econometrics,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Computer Science,Biological Sciences,Psychology,General Engineering,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,22.8–28.2
University of Nigeria Nsukka,29.1,10.6,30.3,17.3,37,master_account,0,Nigeria,"43,108",11.7,1%,46:54:00,"Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry,Accounting & Finance,Architecture,Veterinary Science,Psychology,Other Health,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Economics & Econometrics,General Engineering,Communication & Media Studies,Archaeology,Agriculture & Forestry,Law,History, Philosophy & Theology,Sport Science,Business & Management,Computer Science,Biological Sciences,Geography,Medicine & Dentistry,Physics & Astronomy,Education,Civil Engineering,Sociology",FALSE,FALSE,22.8–28.2
Ochanomizu University,33.2,16.5,19.7,36.5,38.2,master_account,0,Japan,"2,678",14.5,6%,100:00:00,"Computer Science,Sociology,General Engineering,Education,Chemistry,Biological Sciences,Art, Performing Arts & Design,Physics & Astronomy,Languages, Literature & Linguistics,Psychology,Civil Engineering,Geography,History, Philosophy & Theology,Mathematics & Statistics",FALSE,FALSE,22.8–28.2
Oles Honchar Dnipro National University,25.1,9,7.4,18.9,21.5,master_account,0,Ukraine,"7,478",10.1,2%,56:44:00,"Business & Management,General Engineering,Communication & Media Studies,Economics & Econometrics,Art, Performing Arts & Design,Sport Science,Chemistry,Archaeology,Other Health,Education,Electrical & Electronic Engineering,Geography,Computer Science,Mathematics & Statistics,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Mechanical & Aerospace Engineering,Biological Sciences,Law,Accounting & Finance,Sociology,Psychology,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemical Engineering",FALSE,FALSE,22.8–28.2
Opole University of Technology,18.5,13.8,37.3,18.5,36.1,master_account,0,Poland,"5,096",13.7,6%,32 : 68,"Accounting & Finance,General Engineering,Computer Science,Civil Engineering,Sport Science,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Business & Management",FALSE,FALSE,22.8–28.2
University of Oradea,16.7,14.6,35,16.9,41,master_account,0,Romania,"15,820",17.5,6%,56:44:00,"Sociology,Medicine & Dentistry,Mathematics & Statistics,Electrical & Electronic Engineering,Art, Performing Arts & Design,Communication & Media Studies,Agriculture & Forestry,Business & Management,Politics & International Studies (incl Development Studies),Biological Sciences,Languages, Literature & Linguistics,General Engineering,Geography,Civil Engineering,Psychology,Mechanical & Aerospace Engineering,Education,Physics & Astronomy,Computer Science,Accounting & Finance,Sport Science,Economics & Econometrics,Chemistry,Other Health,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Law,Architecture",FALSE,FALSE,22.8–28.2
Osaka Metropolitan University,29.1,18.7,29.8,79.5,26.6,master_account,0,Japan,"15,734",11.5,4%,37 : 63,"Other Health,Mathematics & Statistics,Accounting & Finance,Architecture,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,History, Philosophy & Theology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Law,Archaeology,Art, Performing Arts & Design,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Sociology,Languages, Literature & Linguistics,Chemical Engineering,Sport Science,Mechanical & Aerospace Engineering,Education,Business & Management,Civil Engineering,Chemistry,Veterinary Science,Geography,General Engineering,Biological Sciences,Electrical & Electronic Engineering,Economics & Econometrics,Psychology",FALSE,FALSE,22.8–28.2
Osmania University,33.9,16.3,31.1,27.7,21.4,master_account,0,India,"10,520",25.7,3%,36 : 64,"Geography,Politics & International Studies (incl Development Studies),Chemistry,General Engineering,Chemical Engineering,History, Philosophy & Theology,Law,Biological Sciences,Sport Science,Languages, Literature & Linguistics,Business & Management,Education,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Accounting & Finance,Computer Science,Economics & Econometrics,Mechanical & Aerospace Engineering,Sociology,Electrical & Electronic Engineering,Mathematics & Statistics,Psychology,Physics & Astronomy",FALSE,FALSE,22.8–28.2
Paris Nanterre University,20.9,16.8,27.9,42.9,66.7,master_account,0,France,"35,218",23.4,16%,64:36:00,"Languages, Literature & Linguistics,Education,History, Philosophy & Theology,Art, Performing Arts & Design,Geography,Politics & International Studies (incl Development Studies),Archaeology,Psychology,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,Sociology,Law,Sport Science,Mechanical & Aerospace Engineering,Business & Management,Accounting & Finance",FALSE,FALSE,22.8–28.2
University of Pau and Pays de l’Adour,23.4,12.4,21.6,28.5,79.9,master_account,0,France,"14,105",13.9,15%,53:47:00,"Agriculture & Forestry,Communication & Media Studies,Electrical & Electronic Engineering,Chemistry,Business & Management,Languages, Literature & Linguistics,Sport Science,Sociology,Civil Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Computer Science,Veterinary Science,Geography,Chemical Engineering,General Engineering,Physics & Astronomy,Education,Art, Performing Arts & Design,Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Law",FALSE,FALSE,22.8–28.2
Pavol Jozef Šafárik University in Košice,40.7,10.2,17.1,24.9,62.1,master_account,0,Slovakia,"7,060",10.3,24%,67:33:00,"Geology, Environmental, Earth & Marine Sciences,Computer Science,Languages, Literature & Linguistics,Geography,Communication & Media Studies,Mathematics & Statistics,Other Health,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Education,Sociology,Biological Sciences,Psychology,Physics & Astronomy,Law,Sport Science,Chemistry,Agriculture & Forestry,Medicine & Dentistry",FALSE,FALSE,22.8–28.2
Persian Gulf University,17.8,14.1,45.5,28.8,38.2,master_account,0,Iran,"5,499",23.1,5%,55:45:00,"Biological Sciences,Mathematics & Statistics,Electrical & Electronic Engineering,Chemistry,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Physics & Astronomy,Business & Management,Mechanical & Aerospace Engineering,Chemical Engineering,Computer Science,Economics & Econometrics,Accounting & Finance,Sport Science,General Engineering,Architecture,History, Philosophy & Theology,Agriculture & Forestry,Psychology",FALSE,FALSE,22.8–28.2
University of the Philippines,25.4,15.3,38.7,22.8,38.4,master_account,0,Philippines,"53,676",11.1,0%,59:41:00,"Languages, Literature & Linguistics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Architecture,Biological Sciences,Business & Management,Electrical & Electronic Engineering,Chemistry,Accounting & Finance,Archaeology,Veterinary Science,Economics & Econometrics,Other Health,Chemical Engineering,Communication & Media Studies,General Engineering,Physics & Astronomy,Psychology,History, Philosophy & Theology,Civil Engineering,Sociology,Medicine & Dentistry,Sport Science,Education,Computer Science,Mathematics & Statistics,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Geography",FALSE,FALSE,22.8–28.2
Pirogov Russian National Research Medical University,44.2,13.3,14.5,28.1,22.6,master_account,0,Russian Federation,"9,613",6.9,4%,,"Psychology,Biological Sciences,Medicine & Dentistry,Sociology",FALSE,FALSE,22.8–28.2
Polytechnic Institute of Porto,15,11.9,49.6,22.1,31.8,master_account,0,Portugal,"19,211",16.9,5%,47:53:00,"Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Computer Science,Communication & Media Studies,General Engineering,Languages, Literature & Linguistics,Sport Science,Chemical Engineering,Education,Business & Management,Accounting & Finance,Art, Performing Arts & Design,Other Health",FALSE,FALSE,22.8–28.2
Pontifical Catholic University of Peru,24.8,9.8,29.7,16.9,45.6,master_account,0,Peru,"27,960",7.3,1%,47:53:00,"Mechanical & Aerospace Engineering,Geography,Civil Engineering,Law,Electrical & Electronic Engineering,Sociology,Mathematics & Statistics,Psychology,Architecture,Chemistry,Economics & Econometrics,Archaeology,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Chemical Engineering,Education,Computer Science,General Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Communication & Media Studies,Business & Management,History, Philosophy & Theology,Physics & Astronomy,Accounting & Finance",FALSE,FALSE,22.8–28.2
Pontifical Catholic University of Valparaíso,15.8,17.1,32.8,38.1,51.1,master_account,0,Chile,"18,104",26.2,1%,43:57:00,"Art, Performing Arts & Design,Chemical Engineering,Psychology,History, Philosophy & Theology,Civil Engineering,Business & Management,General Engineering,Biological Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies,Computer Science,Sport Science,Other Health,Chemistry,Education,Electrical & Electronic Engineering,Mathematics & Statistics,Law,Architecture,Geology, Environmental, Earth & Marine Sciences,Sociology,Agriculture & Forestry,Geography,Languages, Literature & Linguistics,Physics & Astronomy",FALSE,FALSE,22.8–28.2
Pontifical Javeriana University,20.7,11.5,37.4,21,45.3,master_account,0,Colombia,"28,879",12.9,2%,56:44:00,"Electrical & Electronic Engineering,Art, Performing Arts & Design,Computer Science,Psychology,Languages, Literature & Linguistics,General Engineering,Mechanical & Aerospace Engineering,Biological Sciences,Communication & Media Studies,Business & Management,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Architecture,Sociology,Sport Science,Education,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,History, Philosophy & Theology,Civil Engineering,Chemistry,Other Health,Economics & Econometrics,Accounting & Finance,Physics & Astronomy,Law",FALSE,FALSE,22.8–28.2
Pontifícia Universidade Católica do Paraná,26.3,12.8,34.3,43,30.7,master_account,0,Brazil,"11,476",13,1%,56:44:00,"Agriculture & Forestry,Architecture,Physics & Astronomy,Biological Sciences,Computer Science,Economics & Econometrics,Education,Electrical & Electronic Engineering,Civil Engineering,Sociology,Mechanical & Aerospace Engineering,Chemical Engineering,Communication & Media Studies,Mathematics & Statistics,General Engineering,Other Health,Psychology,Accounting & Finance,Medicine & Dentistry,Veterinary Science,Sport Science,Chemistry,Law,Business & Management,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology",FALSE,FALSE,22.8–28.2
Port Said University,13.7,8.5,53.7,16.8,46.6,master_account,0,Egypt,"29,241",28.3,0%,62:38:00,"Biological Sciences,Sociology,Languages, Literature & Linguistics,Agriculture & Forestry,Education,Chemical Engineering,Physics & Astronomy,Medicine & Dentistry,Other Health,Mathematics & Statistics,Geography,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Architecture,General Engineering,Communication & Media Studies,Economics & Econometrics,Civil Engineering,Accounting & Finance,Computer Science,Politics & International Studies (incl Development Studies),Sport Science,Psychology,History, Philosophy & Theology,Electrical & Electronic Engineering,Chemistry",FALSE,FALSE,22.8–28.2
Poznań University of Life Sciences,25.1,11.3,45.2,27.4,25.9,master_account,0,Poland,"6,184",8.5,6%,60:40:00,"General Engineering,Accounting & Finance,Economics & Econometrics,Civil Engineering,Biological Sciences,Agriculture & Forestry,Veterinary Science",FALSE,FALSE,22.8–28.2
Poznan University of Technology,22.6,13,35.9,41.8,26.9,master_account,0,Poland,"14,304",11.4,6%,32 : 68,"Chemical Engineering,Mechanical & Aerospace Engineering,Computer Science,Physics & Astronomy,Mathematics & Statistics,Architecture,Electrical & Electronic Engineering,Civil Engineering,Chemistry,Art, Performing Arts & Design,Business & Management,General Engineering",FALSE,FALSE,22.8–28.2
Prince of Songkla University,23.4,14.8,32.6,43.5,37.7,master_account,0,Thailand,"33,318",12.9,2%,69:31:00,"Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Physics & Astronomy,Other Health,Mathematics & Statistics,Business & Management,Civil Engineering,Psychology,History, Philosophy & Theology,General Engineering,Law,Accounting & Finance,Art, Performing Arts & Design,Biological Sciences,Sociology,Languages, Literature & Linguistics,Agriculture & Forestry,Geography,Computer Science,Communication & Media Studies,Economics & Econometrics,Architecture,Chemical Engineering,Education,Medicine & Dentistry,Veterinary Science,Chemistry",FALSE,FALSE,22.8–28.2
University of Puerto Rico,25,11.4,40.8,37.6,44.4,master_account,0,Puerto Rico,"43,535",15.2,1%,58:42:00,"Economics & Econometrics,Mathematics & Statistics,Sociology,Languages, Literature & Linguistics,Communication & Media Studies,Law,Politics & International Studies (incl Development Studies),Computer Science,Biological Sciences,General Engineering,Accounting & Finance,Other Health,Art, Performing Arts & Design,Medicine & Dentistry,Education,Agriculture & Forestry,History, Philosophy & Theology,Chemistry,Psychology,Electrical & Electronic Engineering,Chemical Engineering,Architecture,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Geography,Mechanical & Aerospace Engineering",FALSE,FALSE,22.8–28.2
Pukyong National University,26.7,13.9,28.5,39,36.4,master_account,0,South Korea,"16,563",11.4,10%,52:48:00,"Computer Science,Mathematics & Statistics,Accounting & Finance,Other Health,Geology, Environmental, Earth & Marine Sciences,Education,Civil Engineering,Sociology,History, Philosophy & Theology,Agriculture & Forestry,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Chemistry,Languages, Literature & Linguistics,Biological Sciences,Economics & Econometrics,Art, Performing Arts & Design,Chemical Engineering,Law,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),General Engineering,Physics & Astronomy,Psychology",FALSE,FALSE,22.8–28.2
University of Qom,22.2,12.1,35.1,17.3,48.6,master_account,0,Iran,"11,828",43,33%,44:56:00,"Mechanical & Aerospace Engineering,Physics & Astronomy,Languages, Literature & Linguistics,History, Philosophy & Theology,Mathematics & Statistics,Law,Economics & Econometrics,Business & Management,Architecture,Civil Engineering,Psychology,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Computer Science,Sport Science,Electrical & Electronic Engineering,Chemical Engineering,Accounting & Finance,Biological Sciences,Chemistry,General Engineering,Education",FALSE,FALSE,22.8–28.2
University Rey Juan Carlos,15.8,13.4,51.2,31.3,39.9,master_account,0,Spain,"42,153",19.4,6%,59:41:00,"Chemical Engineering,Languages, Literature & Linguistics,Communication & Media Studies,Computer Science,Mechanical & Aerospace Engineering,Business & Management,Education,Medicine & Dentistry,Law,Other Health,Sport Science,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Psychology,Mathematics & Statistics,Art, Performing Arts & Design,Accounting & Finance,Architecture,General Engineering,Biological Sciences",FALSE,FALSE,22.8–28.2
Rikkyo University,18.6,9.3,34,19.7,58.4,master_account,0,Japan,"19,783",14.4,4%,,"Chemistry,Accounting & Finance,Computer Science,Law,Archaeology,Economics & Econometrics,Mathematics & Statistics,Education,Physics & Astronomy,Business & Management,History, Philosophy & Theology,Geography,Art, Performing Arts & Design,Communication & Media Studies,Other Health,Biological Sciences,Sociology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Sport Science,Psychology",FALSE,FALSE,22.8–28.2
Ritsumeikan University,19.8,13.9,27.4,30.3,46.8,master_account,0,Japan,"35,119",17.4,10%,37 : 63,"General Engineering,Sport Science,Architecture,Civil Engineering,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Art, Performing Arts & Design,Agriculture & Forestry,Law,Computer Science,Chemistry,Business & Management,History, Philosophy & Theology,Physics & Astronomy,Education,Electrical & Electronic Engineering,Mathematics & Statistics,Psychology,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Mechanical & Aerospace Engineering,Sociology,Archaeology,Chemical Engineering,Geography,Economics & Econometrics",FALSE,FALSE,22.8–28.2
Université Saint-Joseph de Beyrouth,32.6,10.9,24.2,27,69.7,master_account,0,Lebanon,"7,941",10.9,7%,61:39:00,"Computer Science,Geology, Environmental, Earth & Marine Sciences,Other Health,Physics & Astronomy,Accounting & Finance,Electrical & Electronic Engineering,Chemical Engineering,Law,Civil Engineering,Communication & Media Studies,General Engineering,Biological Sciences,Education,History, Philosophy & Theology,Chemistry,Business & Management,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Languages, Literature & Linguistics,Sociology,Architecture,Mathematics & Statistics,Geography,Medicine & Dentistry,Agriculture & Forestry,Psychology",FALSE,FALSE,22.8–28.2
Saitama Medical University,26.5,10.3,39.3,41.5,18.3,master_account,0,Japan,"1,915",1.4,0%,51:49:00,"Medicine & Dentistry,Other Health",FALSE,FALSE,22.8–28.2
Sakarya University,16.5,10.6,45.4,24,28.4,master_account,0,Turkey,"42,601",26.6,7%,51:49:00,"Business & Management,Languages, Literature & Linguistics,Mathematics & Statistics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Computer Science,Law,Sociology,Psychology,Physics & Astronomy,Biological Sciences,Electrical & Electronic Engineering,Civil Engineering,Politics & International Studies (incl Development Studies),Architecture,Economics & Econometrics,Education,Geography,Art, Performing Arts & Design,Accounting & Finance,Communication & Media Studies,Medicine & Dentistry,Chemistry",FALSE,FALSE,22.8–28.2
